sentence,학습용 분류,저희 개수
"했다. ""로마군이 개입을 한다면?"" 아굴라가 험악한 얼굴로 물었다. ""그렇다면 저희 단이 가담을 해도 로마군을 당할 수는 없겠지요."" ""그렇다면 귀단에서",1.0,1
"어려운 점들이 있읍니다. 더우기 지금처럼 경기가 좋지 않을 때, 저희 회사처럼 적자에 허덕이는 회사에 누가 선뜻 돈을 대주겠다고 나서겠읍니까?'",1.0,1
그 사람들이 저희들끼리 잡담들을 하는 가운데 문득 시황제라는 말이 귓결에 들리므로 서복은,0.0,1
"김달수 소령입니다｣ ｢뭔가 김소령, 빨리 보고하라!｣ ｢인접 ××연대가 뚫렸읍니다! 저희 대대 혼자로는 방어가 완전히 절망적입니다. 철수명령을 내려주십시요! 철수가 늦으면",1.0,1
“그러면 저희도 내리겠습니다. 잠깐 기다려 주셔요!” 하더니 저편으로 뛰어간다.,1.0,1
"부정은 긍정이라고 하지 않나"" ""정 못 믿으시겠다면 오늘 밤 저희 집에 오십시오. 지금까지의 궁금증을 모두 풀어들일 테니까"" ""그래. 그거",1.0,1
"일이라두 생겼나?” “별루 …….” 지연이 눈을 아래로 깔았다. “저어, 저희 부모님한테 말씀 좀 해 주시겠어요?” 성호는 이제서야 지연이 말문을",1.0,1
해요! 기회 만들어 제가 부모님께 말씀 드리겠어요. 그리고 과장님을 저희 집으로 정식 초청하겠어요!' 주인은 방일혜의 뺨에 입술을 댄다. 두,1.0,1
"자리에서 일어나더니 침실을 둘러봤다. ""여기가 어디죠?"" 연구원이 다가갔다. ""이번에 저희 사무실 인테리어를 해주신다고 하지 않았습니까?"" 여자가 고개를 갸우뚱거렸다. ""제가",1.0,1
눈치였다. '..그야 그렇지. 그만 해도 아직 마흔 안줄이었으니까' '그때 저희 아버님께서는 부산으로 피난가 있었다면서요' '그랬었지. 그건 나중에 난리가 끝난,1.0,1
질투를 하는 것이라고 생각지는 않는다. 그저 남편 없는 몸이라고 저희 마음대로 휘둘리는가 싶어서 고까운 생각이 드는 것뿐이다. 더구나 언제,0.0,1
"선생님 우리는 정말 「 , 어떻거면 좋겠읍니까? 저희들의 갈 길을 진심으로, 꾸밈없이 단 한 마디만 깨우쳐 주십시요!」",1.0,1
"앞에서 거드름스럽게 서 있는 선비를 쳐다보며, “암클 배우는 서당이라시지만 저희 쌍놈들이야 양반님네와는 달라서 어디 국문이나마 제대루들 압니까?.......그런데 마침 뵈운",1.0,1
이필제가 가령 정말루 천안에 있다는 손 치구. 그래 게뚜기는 저희 단 두 놈이 가서 그를 잡을 수 있을 줄로,0.0,1
화염병 사진 판독이 이유였지만 아마도 적들은 학생회 선거를 대비하여 저희 나름대로 술수를 부린 모양이었다. 하지만 그때 승규는 꿋꿋했다. 과,0.0,1
그렇게 행한 결과에 하나님 편에서 특별한 능력으로 저희를 구출하였다.,0.0,1
"""조선 사람들이 저희끼리 힘써서 잘산다는 것이 무슨 죄가 될 것 있소?""",0.0,1
